ATIVIDADES DE EXTENSÃO REGISTRADAS NA PRÓ-REITORIA DE EXTENSÃO UNIVERSITÁRIA (PROEXT) EM 2021 E HOMOLOGADAS PELO CONSELHO DE EXTENSÃO UNIVERSITÁRIA (COEXT) ,,,,,,,,,,,,
Registro,Título da Atividade,Coordenador da Atividade,Unidade UFTM,Modalidade,Área Temática Principal,Início,Término,Envio,Data do Registro,Edital,Órgão Financeiro ,Valores (R$)
01/2021,VIII CVIP - Curso de Verão em Imunoparasitologia,Carlo Jose Freire de Oliveira,PROPPG,Curso,Saúde,01/02/2021,04/02/2021,31/12/2020,08/01/2021,SIGProj - Ed. Fluxo Contínuo - 10/2017 - sem financeiro,Não Tem Recurso Financeiro,----
02/2021,O Controle Regulatório como base para a Otimização ,Lucas Pereira Pires,ICTE,Evento,Tecnologia e Produção,22/01/2021,28/01/2021,06/01/2021,18/01/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
03/2021,Suporte Avançado de Vida em Pediatria,Fabiana Jorge Bueno Galdino Barsam,HC,Curso,Saúde,29/01/2021,01/02/2021,30/12/2020,21/01/2021,SIGProj - Ed. Fluxo Contínuo - 10/2017 - sem financeiro,Não Tem Recurso Financeiro,----
04/2021,Jornal Ambientando: Engenharia Ambiental da UFTM em ação,Carla Eloisa Diniz dos Santos,ICTE,Projeto,Comunicação,10/02/2021,10/02/2023,08/01/2021,21/01/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
05/2021,"Seminário de Comemoração do Centenário de Paulo Freire: educação, política e movimentos sociais no Brasil hoje",José Henrique Singolano Néspoli,ICENE,Curso,Educação,16/02/2021,19/04/2021,19/01/2021,21/01/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
06/2021,"Webinar ""Nascer em tempos de COVID-19""",Mariana Torreglosa Ruiz,ICS,Evento,Saúde,09/02/2021,25/02/2021,26/01/2021,01/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
07/2021,Grupo de estudos sobre teoria e prática de terapia on-line,Eduardo Sousa Gotti,IELACHS,Curso,Saúde,12/02/2021,24/09/2021,14/01/2021,01/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
08/2021,Liga de Oftalmologia do Triângulo Mineiro,Firmani Mello Bento de Senne,ICS,Liga Acadêmica (Programa),Saúde,01/03/2021,01/03/2022,14/01/2021,03/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
09/2021,PIBID/UFTM: Diálogos Formativos entre Universidade e a Escola,Renato Fundão Vieira,ICENE,Projeto,Educação,04/02/2021,30/04/2022,08/01/2021,03/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
10/2021,Liga de Botânica Graziela Maciel Barroso ,"Livia Constancio de Siqueira Alterado para: FLAVIA DE SOUZA LIMA, em 30.11.2021.",ICENE,Liga Acadêmica (Programa),Educação,12/02/2021,13/02/2022,14/01/2021,04/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
11/2021,Aumentando a capacidade de hospedagem fotovoltaica das redes de distribuição: O papel dos inversores inteligentes e armazenamento,Fabrício Augusto Matheus Moura,ICTE,Evento,Tecnologia e Produção,22/03/2021,31/03/2021,01/02/2021,05/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
12/2021,"Educação Integral, Integrada e Integradora: histórico, concepções, percepções, teorias e práticas",Regina Maria Rovigati Simões,ICS,Curso,Educação,15/02/2021,17/12/2021,11/01/2021,05/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
13/2021,Liga de Coloproctologia,Luciano Ricardo Pelegrinelli,HC - Hospital de Clínicas,Liga Acadêmica (Programa),Educação,10/2/2021,11/08/2021,10/12/2020,10/02/2021,SIGProj - Ed. Fluxo Contínuo - 10/2017 - sem financeiro,Não Tem Recurso Financeiro,----
14/2021,Capacitação em biossegurança para o retorno das aulas presenciais,Guilherme Ferreto,Cefores,Curso,Saúde,3/3/2021,31/5/2021,2/2/2021,11/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
15/2021,LIGA ACADÊMICA DE SAÚDE MENTAL E PSIQUIATRIA,Tomas Rotelli de Oiveira Ferreira,ICS,Liga Acadêmica (Programa),Educação,10/03/2021,10/03/2022,10/02/2021,19/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
16/2021,Gestão de Compras no Setor Público,Luci Aparecida Souza Borges de Faria,SADMI/Iturama,Curso,Trabalho,22/02/2021,22/03/2021,27/01/2021,22/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
17/2021,III Simpósio Introdutório a Liga Acadêmica de Ciências Forenses,Siomar de Castro Soares,ICBN,Evento,Direitos Humanos e Justiça,22/02/2021,23/02/2021,02/02/2021,22/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
18/2021,Liga Acadêmica de Patologia Geral e Nefropatologia,Juliana Reis Machado e Silva,ICBN,Liga Acadêmica (Programa),Saúde,31/03/2021,30/03/2022,20/01/2021,22/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
19/2021,"Construir a História local: imigração, modernização e patrimônio em Paineiras-Peirópolis",Claudia Regina Bovo,IELACHS,Projeto,Educação,02/03/2021,28/02/2022,02/02/2021,23/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
20/2021,I Simpósio e Curso Introdutório à Liga de Saúde Mental e Psiquiatria,Tomas Rotelli de Oiveira Ferreira,ICS,Evento,Educação,01/03/2021,01/03/2021,14/02/2021,24/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
21/2021,“O método cartográfico e os estudos de Deleuze e seus intercessores”,Fernanda Borges de Andrade,IELACHS,Projeto,Educação,09/03/2021,13/07/2021,04/02/2021,24/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
22/2021,Equipe Triângulo Verde 2021,Tobias Anderson Guimarães,ICTE,Projeto,Tecnologia e Produção,10/03/2021,31/12/2021,10/02/2021,24/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
23/2021,XIV SNHM,Mônica de Cássia Siqueira Martines,ICENE,Evento,Educação,08/03/2021,08/04/2021,22/02/2021,26/02/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
24/2021,(PARA ALÉM DO MERCADO DE TRABALHO): Projetos de Vida e Saúde de Adolescentes” - Ano II,Ailton de Souza Aragão,ICS,Programa,Educação,01/03/2021,01/12/2021,19/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
